symbol,geneid,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
TROAP,10024,CCNB2,9606.ENSP00000257909,9606.ENSP00000288207,0.0,0.0,0.282,0.674
TROAP,10024,TPX2,9606.ENSP00000257909,9606.ENSP00000300403,0.0,0.0,0.274,0.676
KIF20A,10112,CDCA3,9606.ENSP00000378356,9606.ENSP00000442068,0.0,0.0,0.522,0.93
NAMPT,10135,IL1B,9606.ENSP00000222553,9606.ENSP00000263341,0.0,0.0,0.584,0.661
NAMPT,10135,ICAM1,9606.ENSP00000222553,9606.ENSP00000264832,0.0,0.0,0.372,0.432
PDZK1IP1,10158,TAL1,9606.ENSP00000294338,9606.ENSP00000294339,0.0,0.0,0.529,0.536
LOC102723407,102723407,DUSP8,9606.ENSP00000478289,9606.ENSP00000380530,0.0,0.0,0.58,0.58
LOC102723407,102723407,PBX1,9606.ENSP00000478289,9606.ENSP00000405890,0.0,0.0,0.506,0.506
LOC102723407,102723407,IGHV3-11,9606.ENSP00000478289,9606.ENSP00000474135,0.0,0.54,0.104,0.59
EDAR,10913,TNFRSF21,9606.ENSP00000258443,9606.ENSP00000296861,0.0,0.0,0.575,0.575
SDS,10993,HGD,9606.ENSP00000257549,9606.ENSP00000283871,0.0,0.0,0.462,0.497
UBE2C,11065,CDCA7,9606.ENSP00000348838,9606.ENSP00000306968,0.088,0.0,0.341,0.594
UBE2C,11065,AURKB,9606.ENSP00000348838,9606.ENSP00000313950,0.053,0.4,0.704,0.955
UBE2C,11065,RRM2,9606.ENSP00000348838,9606.ENSP00000353770,0.068,0.0,0.749,0.931
MED12L,116931,THRB,9606.ENSP00000417235,9606.ENSP00000379904,0.064,0.65,0.0,0.658
CLU,1191,MMP9,9606.ENSP00000315130,9606.ENSP00000361405,0.292,0.0,0.614,0.718
CCR8,1237,CCR10,9606.ENSP00000326432,9606.ENSP00000332504,0.0,0.5,0.531,0.755
CCR8,1237,ULBP2,9606.ENSP00000326432,9606.ENSP00000356320,0.0,0.0,0.723,0.723
CCR8,1237,MMP9,9606.ENSP00000326432,9606.ENSP00000361405,0.0,0.0,0.399,0.401
CREM,1390,SIK1,9606.ENSP00000265372,9606.ENSP00000270162,0.0,0.0,0.599,0.606
SCGB1C1,147199,GP9,9606.ENSP00000344545,9606.ENSP00000303942,0.0,0.0,0.0,0.426
SCGB1C1,147199,AQP10,9606.ENSP00000344545,9606.ENSP00000318355,0.0,0.0,0.0,0.434
SIK1,150094,CREM,9606.ENSP00000270162,9606.ENSP00000265372,0.0,0.0,0.599,0.606
SIK1,150094,CSRNP1,9606.ENSP00000270162,9606.ENSP00000273153,0.0,0.0,0.187,0.45
CXADR,1525,AFAP1L2,9606.ENSP00000284878,9606.ENSP00000303042,0.0,0.0,0.444,0.444
DUSP8,1850,LOC102723407,9606.ENSP00000380530,9606.ENSP00000478289,0.0,0.0,0.58,0.58
E2F2,1870,AURKB,9606.ENSP00000355249,9606.ENSP00000313950,0.0,0.0,0.388,0.459
E2F2,1870,RRM2,9606.ENSP00000355249,9606.ENSP00000353770,0.0,0.0,0.354,0.435
EGF,1950,OSM,9606.ENSP00000265171,9606.ENSP00000215781,0.0,0.0,0.577,0.577
EGF,1950,SPARC,9606.ENSP00000265171,9606.ENSP00000231061,0.0,0.0,0.596,0.598
EGF,1950,IGFBP2,9606.ENSP00000265171,9606.ENSP00000233809,0.0,0.0,0.47,0.47
EGF,1950,TNFAIP6,9606.ENSP00000265171,9606.ENSP00000243347,0.133,0.0,0.416,0.472
EGF,1950,SNAI1,9606.ENSP00000265171,9606.ENSP00000244050,0.0,0.0,0.702,0.702
EGF,1950,KRT5,9606.ENSP00000265171,9606.ENSP00000252242,0.0,0.0,0.514,0.514
EGF,1950,SMAD7,9606.ENSP00000265171,9606.ENSP00000262158,0.0,0.0,0.419,0.418
EGF,1950,IL1B,9606.ENSP00000265171,9606.ENSP00000263341,0.0,0.0,0.762,0.762
EGF,1950,SELP,9606.ENSP00000265171,9606.ENSP00000263686,0.0,0.0,0.64,0.662
EGF,1950,ICAM1,9606.ENSP00000265171,9606.ENSP00000264832,0.0,0.0,0.577,0.577
EGF,1950,BMP6,9606.ENSP00000265171,9606.ENSP00000283147,0.0,0.0,0.407,0.416
EGF,1950,CXCL5,9606.ENSP00000265171,9606.ENSP00000296027,0.0,0.0,0.664,0.668
EGF,1950,PF4,9606.ENSP00000265171,9606.ENSP00000296029,0.0,0.0,0.617,0.625
EGF,1950,AFAP1L2,9606.ENSP00000265171,9606.ENSP00000303042,0.0,0.0,0.404,0.405
EMP1,2012,ICAM1,9606.ENSP00000256951,9606.ENSP00000264832,0.0,0.0,0.511,0.532
F2R,2149,GP9,9606.ENSP00000321326,9606.ENSP00000303942,0.091,0.0,0.48,0.509
F2R,2149,GP1BA,9606.ENSP00000321326,9606.ENSP00000329380,0.091,0.0,0.662,0.684
F2R,2149,MMP9,9606.ENSP00000321326,9606.ENSP00000361405,0.05,0.0,0.432,0.441
TPX2,22974,TROAP,9606.ENSP00000300403,9606.ENSP00000257909,0.0,0.0,0.274,0.676
TPX2,22974,CCNB2,9606.ENSP00000300403,9606.ENSP00000288207,0.045,0.0,0.725,0.953
SH3BP4,23677,STON2,9606.ENSP00000386862,9606.ENSP00000450857,0.0,0.0,0.522,0.522
MAFF,23764,TNFAIP3,9606.ENSP00000442060,9606.ENSP00000481570,0.0,0.0,0.185,0.484
MAFF,23764,NR4A3,9606.ENSP00000442060,9606.ENSP00000482027,0.071,0.0,0.261,0.462
ALOX12,239,TUBB1,9606.ENSP00000251535,9606.ENSP00000217133,0.0,0.0,0.042,0.409
ALOX12,239,ACRBP,9606.ENSP00000251535,9606.ENSP00000229243,0.0,0.0,0.0,0.445
GCK,2645,GYS2,9606.ENSP00000223366,9606.ENSP00000261195,0.0,0.0,0.569,0.616
MLH3,27030,H2BC4,9606.ENSP00000348020,9606.ENSP00000321744,0.0,0.5,0.0,0.501
MLH3,27030,H2BC21,9606.ENSP00000348020,9606.ENSP00000358151,0.0,0.5,0.072,0.52
LYPD3,27076,KRT5,9606.ENSP00000244333,9606.ENSP00000252242,0.0,0.0,0.076,0.42
TNFRSF21,27242,EDAR,9606.ENSP00000296861,9606.ENSP00000258443,0.0,0.0,0.575,0.575
GP1BA,2811,H2AC8,9606.ENSP00000329380,9606.ENSP00000303373,0.0,0.4,0.0,0.401
GP1BA,2811,GP9,9606.ENSP00000329380,9606.ENSP00000303942,0.783,0.9,0.999,0.999
GP1BA,2811,F2R,9606.ENSP00000329380,9606.ENSP00000321326,0.091,0.0,0.662,0.684
GP1BA,2811,H2BC4,9606.ENSP00000329380,9606.ENSP00000321744,0.045,0.4,0.0,0.402
GP1BA,2811,GFI1B,9606.ENSP00000329380,9606.ENSP00000344782,0.091,0.0,0.338,0.477
GP1BA,2811,H3C12,9606.ENSP00000329380,9606.ENSP00000352252,0.125,0.4,0.129,0.502
GP1BA,2811,H2BC21,9606.ENSP00000329380,9606.ENSP00000358151,0.045,0.4,0.069,0.42
GP1BB,2812,CLDN5,9606.ENSP00000383382,9606.ENSP00000385477,0.0,0.0,0.497,0.532
GP1BB,2812,SEPTIN5,9606.ENSP00000383382,9606.ENSP00000391311,0.0,0.0,0.897,0.902
GP9,2815,AQP10,9606.ENSP00000303942,9606.ENSP00000318355,0.042,0.0,0.042,0.435
GP9,2815,F2R,9606.ENSP00000303942,9606.ENSP00000321326,0.091,0.0,0.48,0.509
GP9,2815,GP1BA,9606.ENSP00000303942,9606.ENSP00000329380,0.783,0.9,0.999,0.999
GP9,2815,SCGB1C1,9606.ENSP00000303942,9606.ENSP00000344545,0.0,0.0,0.0,0.426
GP9,2815,GFI1B,9606.ENSP00000303942,9606.ENSP00000344782,0.091,0.0,0.297,0.516
CCR10,2826,CCR8,9606.ENSP00000332504,9606.ENSP00000326432,0.0,0.5,0.531,0.755
GSDMA,284110,IL1B,9606.ENSP00000301659,9606.ENSP00000263341,0.0,0.0,0.602,0.602
IGHV3-11,28450,LOC102723407,9606.ENSP00000474135,9606.ENSP00000478289,0.0,0.54,0.104,0.59
CXCL2,2920,CD83,9606.ENSP00000427279,9606.ENSP00000368450,0.0,0.0,0.269,0.425
CXCL2,2920,IL1R1,9606.ENSP00000427279,9606.ENSP00000386380,0.0,0.0,0.629,0.647
CXCL2,2920,TNFAIP3,9606.ENSP00000427279,9606.ENSP00000481570,0.0,0.0,0.479,0.718
GYS2,2998,GCK,9606.ENSP00000261195,9606.ENSP00000223366,0.0,0.0,0.569,0.616
H2AC8,3012,H2BC4,9606.ENSP00000303373,9606.ENSP00000321744,0.178,0.4,0.69,0.934
H2AC8,3012,GP1BA,9606.ENSP00000303373,9606.ENSP00000329380,0.0,0.4,0.0,0.401
H2AC8,3012,H3C12,9606.ENSP00000303373,9606.ENSP00000352252,0.985,0.4,0.845,0.998
H2AC8,3012,H2BC21,9606.ENSP00000303373,9606.ENSP00000358151,0.924,0.4,0.94,0.998
HGD,3081,SDS,9606.ENSP00000283871,9606.ENSP00000257549,0.0,0.0,0.462,0.497
ICAM1,3383,BCL3,9606.ENSP00000264832,9606.ENSP00000164227,0.0,0.0,0.545,0.666
ICAM1,3383,OSM,9606.ENSP00000264832,9606.ENSP00000215781,0.0,0.0,0.369,0.401
ICAM1,3383,NAMPT,9606.ENSP00000264832,9606.ENSP00000222553,0.0,0.0,0.372,0.432
ICAM1,3383,IGFBP2,9606.ENSP00000264832,9606.ENSP00000233809,0.0,0.0,0.493,0.493
ICAM1,3383,TNFAIP6,9606.ENSP00000264832,9606.ENSP00000243347,0.0,0.0,0.356,0.427
ICAM1,3383,EMP1,9606.ENSP00000264832,9606.ENSP00000256951,0.0,0.0,0.511,0.532
ICAM1,3383,IL1B,9606.ENSP00000264832,9606.ENSP00000263341,0.0,0.0,0.885,0.912
ICAM1,3383,SELP,9606.ENSP00000264832,9606.ENSP00000263686,0.0,0.0,0.927,0.932
ICAM1,3383,EGF,9606.ENSP00000264832,9606.ENSP00000265171,0.0,0.0,0.577,0.577
ICAM1,3383,ESAM,9606.ENSP00000264832,9606.ENSP00000278927,0.0,0.0,0.581,0.606
ICAM1,3383,PTX3,9606.ENSP00000264832,9606.ENSP00000295927,0.0,0.0,0.419,0.446
ICAM1,3383,CXCL5,9606.ENSP00000264832,9606.ENSP00000296027,0.0,0.0,0.652,0.683
ICAM1,3383,PF4,9606.ENSP00000264832,9606.ENSP00000296029,0.0,0.0,0.524,0.524
ICAM1,3383,CLEC1B,9606.ENSP00000264832,9606.ENSP00000298527,0.0,0.0,0.509,0.534
LANCL3,347404,XK,9606.ENSP00000367882,9606.ENSP00000367879,0.0,0.0,0.213,0.458
IGFBP2,3485,IL1B,9606.ENSP00000233809,9606.ENSP00000263341,0.0,0.0,0.587,0.587
IGFBP2,3485,ICAM1,9606.ENSP00000233809,9606.ENSP00000264832,0.0,0.0,0.493,0.493
IGFBP2,3485,EGF,9606.ENSP00000233809,9606.ENSP00000265171,0.0,0.0,0.47,0.47
IGFBP2,3485,PTX3,9606.ENSP00000233809,9606.ENSP00000295927,0.0,0.0,0.395,0.404
IL1B,3553,BCL3,9606.ENSP00000263341,9606.ENSP00000164227,0.0,0.0,0.657,0.719
IL1B,3553,OSM,9606.ENSP00000263341,9606.ENSP00000215781,0.0,0.0,0.62,0.749
IL1B,3553,NAMPT,9606.ENSP00000263341,9606.ENSP00000222553,0.0,0.0,0.584,0.661
IL1B,3553,SPARC,9606.ENSP00000263341,9606.ENSP00000231061,0.0,0.0,0.43,0.43
IL1B,3553,IGFBP2,9606.ENSP00000263341,9606.ENSP00000233809,0.0,0.0,0.587,0.587
IL1B,3553,TNFAIP6,9606.ENSP00000263341,9606.ENSP00000243347,0.0,0.0,0.696,0.752
IL1B,3553,SNAI1,9606.ENSP00000263341,9606.ENSP00000244050,0.0,0.0,0.478,0.489
IL1B,3553,SMAD7,9606.ENSP00000263341,9606.ENSP00000262158,0.0,0.0,0.501,0.526
IL1B,3553,SELP,9606.ENSP00000263341,9606.ENSP00000263686,0.0,0.0,0.721,0.746
IL1B,3553,ICAM1,9606.ENSP00000263341,9606.ENSP00000264832,0.0,0.0,0.885,0.912
IL1B,3553,EGF,9606.ENSP00000263341,9606.ENSP00000265171,0.0,0.0,0.762,0.762
IL1B,3553,PTX3,9606.ENSP00000263341,9606.ENSP00000295927,0.0,0.0,0.582,0.601
IL1B,3553,CXCL5,9606.ENSP00000263341,9606.ENSP00000296027,0.0,0.0,0.726,0.771
IL1B,3553,PF4,9606.ENSP00000263341,9606.ENSP00000296029,0.0,0.0,0.604,0.622
IL1B,3553,GSDMA,9606.ENSP00000263341,9606.ENSP00000301659,0.0,0.0,0.602,0.602
IL1R1,3554,CXCL2,9606.ENSP00000386380,9606.ENSP00000427279,0.0,0.0,0.629,0.647
IL1R1,3554,TNFAIP3,9606.ENSP00000386380,9606.ENSP00000481570,0.0,0.0,0.4,0.419
ITGB5,3693,SPARC,9606.ENSP00000296181,9606.ENSP00000231061,0.0,0.0,0.205,0.428
KRT5,3852,SNAI1,9606.ENSP00000252242,9606.ENSP00000244050,0.0,0.0,0.411,0.41
KRT5,3852,LYPD3,9606.ENSP00000252242,9606.ENSP00000244333,0.0,0.0,0.076,0.42
KRT5,3852,SLC7A5,9606.ENSP00000252242,9606.ENSP00000261622,0.045,0.0,0.424,0.427
KRT5,3852,EGF,9606.ENSP00000252242,9606.ENSP00000265171,0.0,0.0,0.514,0.514
LDLR,3949,STON2,9606.ENSP00000454071,9606.ENSP00000450857,0.0,0.5,0.0,0.499
SMAD7,4092,SNAI1,9606.ENSP00000262158,9606.ENSP00000244050,0.066,0.0,0.571,0.635
SMAD7,4092,IL1B,9606.ENSP00000262158,9606.ENSP00000263341,0.0,0.0,0.501,0.526
SMAD7,4092,EGF,9606.ENSP00000262158,9606.ENSP00000265171,0.0,0.0,0.419,0.418
SMAD7,4092,BMP6,9606.ENSP00000262158,9606.ENSP00000283147,0.095,0.0,0.554,0.587
MEIS1,4211,TAL1,9606.ENSP00000272369,9606.ENSP00000294339,0.047,0.0,0.519,0.53
MMP9,4318,FOSL1,9606.ENSP00000361405,9606.ENSP00000310170,0.0,0.0,0.439,0.439
MMP9,4318,CLU,9606.ENSP00000361405,9606.ENSP00000315130,0.292,0.0,0.614,0.718
MMP9,4318,F2R,9606.ENSP00000361405,9606.ENSP00000321326,0.05,0.0,0.432,0.441
MMP9,4318,CCR8,9606.ENSP00000361405,9606.ENSP00000326432,0.0,0.0,0.399,0.401
MMP9,4318,PLAUR,9606.ENSP00000361405,9606.ENSP00000339328,0.0,0.0,0.738,0.772
MMP9,4318,H3C12,9606.ENSP00000361405,9606.ENSP00000352252,0.0,0.0,0.663,0.668
MMP9,4318,COL18A1,9606.ENSP00000361405,9606.ENSP00000352798,0.238,0.75,0.588,0.92
MMP9,4318,PTGS2,9606.ENSP00000361405,9606.ENSP00000356438,0.0,0.0,0.785,0.815
GADD45B,4616,CSRNP1,9606.ENSP00000215631,9606.ENSP00000273153,0.0,0.0,0.378,0.858
GADD45B,4616,CCNB2,9606.ENSP00000215631,9606.ENSP00000288207,0.0,0.9,0.298,0.926
NPAS2,4862,PER1,9606.ENSP00000338283,9606.ENSP00000314420,0.746,0.5,0.354,0.91
NRGN,4900,TUBB1,9606.ENSP00000284292,9606.ENSP00000217133,0.0,0.0,0.193,0.526
NRGN,4900,ACRBP,9606.ENSP00000284292,9606.ENSP00000229243,0.0,0.0,0.125,0.446
NR4A2,4929,PTGS2,9606.ENSP00000344479,9606.ENSP00000356438,0.061,0.0,0.32,0.524
OSM,5008,IL1B,9606.ENSP00000215781,9606.ENSP00000263341,0.0,0.0,0.62,0.749
OSM,5008,ICAM1,9606.ENSP00000215781,9606.ENSP00000264832,0.0,0.0,0.369,0.401
OSM,5008,EGF,9606.ENSP00000215781,9606.ENSP00000265171,0.0,0.0,0.577,0.577
PCSK6,5046,EOMES,9606.ENSP00000482760,9606.ENSP00000388620,0.046,0.0,0.482,0.495
G0S2,50486,PTGS2,9606.ENSP00000355996,9606.ENSP00000356438,0.0,0.0,0.181,0.436
PBX1,5087,LOC102723407,9606.ENSP00000405890,9606.ENSP00000478289,0.0,0.0,0.506,0.506
CLEC1B,51266,TUBB1,9606.ENSP00000298527,9606.ENSP00000217133,0.103,0.0,0.088,0.546
CLEC1B,51266,ACRBP,9606.ENSP00000298527,9606.ENSP00000229243,0.0,0.0,0.065,0.451
CLEC1B,51266,SELP,9606.ENSP00000298527,9606.ENSP00000263686,0.0,0.0,0.712,0.78
CLEC1B,51266,ICAM1,9606.ENSP00000298527,9606.ENSP00000264832,0.0,0.0,0.509,0.534
CLEC1B,51266,PF4,9606.ENSP00000298527,9606.ENSP00000296029,0.0,0.0,0.582,0.71
TNFRSF12A,51330,FOSL1,9606.ENSP00000326737,9606.ENSP00000310170,0.0,0.0,0.196,0.401
TNFRSF12A,51330,PLAUR,9606.ENSP00000326737,9606.ENSP00000339328,0.0,0.0,0.242,0.422
TUBA8,51807,TUBB6,9606.ENSP00000333326,9606.ENSP00000318697,0.287,0.65,0.811,0.964
TUBA8,51807,H2BC21,9606.ENSP00000333326,9606.ENSP00000358151,0.0,0.0,0.467,0.467
